user_answer,right_answer,score,Similarly
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,0.0,28.281116
A black and white photo of a love seat.,Black and white photo of couch with purse at one end.,0.68,60.110847
Black bird standing on concrete.,Blue bird standing on green grass.,0.2,63.14358
Crowd of people walking past a giant mushroom.,A group of four people walking past a giant mushroom.,0.8,84.830185
A sheep beside a road and a lake.,A sheep is on the edge of a road with a lake and a mountain in the background.,0.6,89.257904
A group of people sit at a table in an Italian restaurant.,A group of six people sitting at a table with salad served.,0.6,62.022926
Tan cows look closely at the camera.,A white and grey cat in a bathroom sink looking at the camera.,0.15,30.374123
Older woman holding newborn baby.,a woman sitting on a sofa holding a baby.,0.68,64.955345
Two dogs play in the grass.,Two dogs playing in the snow.,0.56,72.7122
Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,0.96,86.01425
A dog swims through the water.,A dog wearing a cape is running through the snow.,0.28,41.645027
A young laughing girl and a boy are playing on a big drum.,A baby girl and little boy are standing next to a guitar and a drum.,0.48,64.90461
The brown dog runs on the snow with a white ball in his mouth.,Four dogs play in the snow with the city skyline behind them.,0.36,41.599716
A bird flies across the water.,A bird flies above the water.,0.96,90.275665
A dog is running through a pond,A pale dog is running along a dirt path.,0.28,49.567883
A man and a woman watch two dogs.,A man in a maroon bathing suit swings on a rope on a lake.,0.08,2.5201309
A man sits by a dock looking at the water.,A man jumps off a rock into the water,0.27,33.50597
A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,0.48,68.86236
A man and a woman are standing in front of a building,Two girls are sitting on an ATV on the sand in front of a bridge.,0.08,2.7710288
Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,0.12,11.593327
The dog is running through a field.,A dog runs through a field.,0.96,97.28805
A black and white dog is jumping into the water.,a white dog runs across the water.,0.56,56.659554
A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,0.4,49.39289
A brown and white dog is walking up snowy steps.,A black and white dog frolics in the snow.,0.52,56.41876
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,The man in a blue jacket is standing in a crowd.,0.0,8.201008
A dog running across the snow with a snowball in it's mouth.,A tan dog is running through the grass with a yellow toy in its mouth.,0.48,52.392696
A small boy is building with some wooden blocks.,A small boy wearing a blue shirt stacks wooden blocks.,0.8,77.30223
A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.",0.8,73.80302
A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.,0.8,87.39702
Two racing dogs run in the mud.,The man is going into the water.,0.0,-0.5132434
"A young boy jumping into a pool that says ""no diving"".",A boy jumps into a pool while lifeguards watch.,0.64,66.9099
Three dogs running in the dirt.,The yellow dog is running on the dirt road.,0.28,48.369194
Four children on stools in a diner.,Four children sit on tall bar stools at a yellow and grey bar.,0.72,70.086914
Boy and white dog running in grassy field,A boy and a dog running on grass,0.88,85.0193
Two boys playing a game of flag football.,Two boys are playing flag football.,1.0,96.17933
The black and white dog has its mouth wide open.,A black and white dog jumps in the snow.,0.36,48.13512
One white boy and one black boy stand with arms around each other.,"Two young boys, one white and one black, are standing with their arms around each other.",0.96,92.03955
Girl playing in a puddle with her bare feet.,A child is playing with two white and black geese.,0.12,18.877062
Two children splashing in the water.,Two dolphins jumping into the water.,0.28,43.899155
A man in a suit dances with a young girl in front of an audience.,A women dangles from a blue fabric connected to a tree.,0.04,-3.6634696
Three children playing on a floor with toys.,Three children sitting in floor playing with several toys.,0.84,92.282364
The two dogs are playing in the yard.,Two dogs are playing on the grass.,0.92,80.97854
The # 2 greyhound dog is running around a track.,a muzzled greyhound dog is running around a track,0.8,84.03273
four children are playing on a trampoline.,Four kids are jumping on a trampoline.,0.92,92.31703
A black and tan dog standing in a field near trees,A white dog is standing by a river shaking himself dry.,0.36,35.233253
A black dog running into the water.,A black dog running through water.,0.92,92.86391
a man and woman walking past a record shop,A man and woman kissing in front of a crowd of people.,0.04,29.140354
Two dogs play in the grass.,Two tan dogs play in the snow.,0.52,66.13466
Three children wrestle on a floral carpet.,Three children playing on the floor.,0.76,64.44134
A boy in red jumping into a sandbox.,A dog swimming in a pond,0.0,9.953297
a dog jumps into the water.,A dog is jumping into the water.,1.0,97.7414
"A wet, blond dog carries a stick on the shore.","The wet, brown dog has a stick in his mouth and is running in the sand next to the water.",0.72,65.555466
A man and a dog on rocks on a beach.,A man and dog on a rocky seashore.,0.92,79.02826
Large group of people standing outside of a building.,A group of people are ice skating in a big city.,0.4,36.211193
Two dogs are running in the field.,Two dogs running in a field.,1.0,97.44302
Two people are in bed.,Two boxers are in the ring.,0.0,28.059906
A light brown dog runs down a path happily.,A pale dog runs down a path.,0.68,80.602135
A red haired women in black is posing for a man while resting on a tree.,A man in a black shirt is holding a child wearing sunglasses.,0.0,14.0504
Two black dogs are jumping and playing with a yellow tennis ball in the snow.,A brown dog and a black dog playing with a yellow soccer ball.,0.4,59.460068
A black and white dog is jumping over a hurdle.,A white dog running over a bridge.,0.4,42.18022
Two brown dogs runs through the water.,Two brown dogs running through water.,0.92,97.519104
A black dog is jumping out of water.,A black dog is shaking off water.,0.6,74.170364
A man climbing a rock-face.,A man is climbing a rock wall.,0.92,79.9029
Woman playing tennis and hitting the ball.,A woman is playing volley ball.,0.4,73.51019
"A young boy with his hair standing up, is sliding down a blue slide",The kid in the orange shirt is sliding down a teal slide.,0.52,58.464386
A dog standing in the water.,A girl playing on a parachute.,0.08,10.792607
A surfer is riding on a breaking wave.,a group of surfers catching a wave,0.52,52.006386
Two dogs are running through the grass near a house and trees.,Two dogs are running through a green yard,0.84,74.77729
A brown and white dog is running across a brown field.,A person hanging from a rocky cliff.,0.0,4.2368717
A black dog standing in the grass near a volleyball.,A brown and black down with a blue collar near a soccer ball on a grassy field.,0.44,54.194527
A white dog with light brown markings has a stick in his mouth and his paws in the snow.,A white dog holds a stick in its mouth while it runs through snow.,0.8,84.37117
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A man in a white print shirt and a woman in a black dress dancing.,0.0,25.50009
A black and white dog is running through the grass.,A tan dog is walking through snow.,0.4,35.016663
A harnessed dog leaps over a log as another dog follows behind.,A brown and white dog is leaping over a log in a field while another dog follows behind it.,0.6,69.57649
A dog running on the grass,Two dogs are running on the grass.,0.52,68.610535
Many football players sitting on the ground.,A dog rolls on the ground.,0.0,10.677009
A little boy and a little girl playing together outside.,A woman wearing a white shirt stands on the street.,0.0,4.247543
The surfer does a flip off of a wave.,A surfer does a flip on a wave.,0.96,96.424934
A female DJ holds up a Michael Jackson album.,a girl holding a picture of Michael Jackson smiling,0.6,57.16573
two white standard poodles play with a toy in the snow,Two dogs fighting in the snow.,0.44,58.09751
Boy lies on stomach in grass.,Small boy lying on his stomach on the grass.,0.88,89.93554
A white dog runs along a rocky shoreline.,A dog jumps over a hurdle.,0.16,32.08649
a black and white dog jumping in the air to catch a Frisbee,A black and white dog jumping in a yard.,0.68,70.843796
The woman is holding the harness that the brown and white dog is wearing.,A man and woman are looking at artwork that is on easels and clipped to a fencing wall.,0.0,15.494917
A girl is jumping.,A boy is rock climbing.,0.12,11.277844
A young pitcher is throwing the baseball.,A brown dog is walking on the grass beside a fence.,0.0,10.991721
Three children playing in snow.,Three children playing in hay,0.48,66.132095
Two people ride their bikes down a dirt road.,Two people riding their bikes on a hill.,0.68,76.21229
A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field,0.8,79.44492
A dog is standing in the sand.,A tan dog is standing in front of some plants.,0.4,50.07006
Four girls in swimsuits are playing volleyball at the beach.,Four ladies in swimsuits play sand volleyball on the beach.,0.8,87.25769
A blonde haired toddler swinging on a tire swing.,A blonde haired child is swinging on a tire swing.,0.96,91.036835
A child wearing blue and white shorts is jumping in the surf.,A girl wearing green twists something in her hands.,0.12,14.30628
Two dogs running on the shore.,A white dog running on the beach.,0.48,54.703445
A yellow car speeds along a snowy field.,A yellow car drives quickly in the snow.,0.88,84.69267
Two dogs playing in snow.,Two dogs playing in grass.,0.48,74.580315
One boy is pushing another boy on a swing.,A boy is pushing another boy on the swings.,0.96,94.89537
A pitcher on a mound throws a baseball.,A boy in the middle of a pitch at a baseball game.,0.68,60.353268
A little girl is riding a toy tricycle on springs.,A little girl is playing on a toy outdoors.,0.56,68.653366
A woman is sitting in the water.,The woman is skating in the park.,0.16,31.681406
A tan girl in a floral bikini is swimming in dark blue waters.,a little girl in a flowered bathingsuit runs through the sand at the beach,0.44,51.352154
a grey dog swimming through a river with a stick in his mouth,Dog swimming through water carrying stick in its mouth,0.76,78.71159
A woman in a blue bathing suit is jumping off a dock into a lake.,a boy in a blue shirt and blue jeans runs across a playground,0.08,9.6530485
Two black dogs are playing on the grass.,Two black dogs are playing in a grassy plain.,0.92,87.26001
Two puppies playing with a plastic bag.,Two dogs playing in a yard.,0.6,56.05405
A man in a black suit is surfing along a crashing wave.,A surfer wearing a black wet suit is riding a a white wave in the ocean.,0.92,68.58876
