sentence1,sentence2,score
"A wet, blond dog carries a stick on the shore.","The wet, brown dog has a stick in his mouth and is running in the sand next to the water.",0.72
A man and a dog on rocks on a beach.,A man and dog on a rocky seashore.,0.92
Large group of people standing outside of a building.,A group of people are ice skating in a big city.,0.4
Two dogs are running in the field.,Two dogs running in a field.,1.0
Two people are in bed.,Two boxers are in the ring.,0.0
A light brown dog runs down a path happily.,A pale dog runs down a path.,0.68
A red haired women in black is posing for a man while resting on a tree.,A man in a black shirt is holding a child wearing sunglasses.,0.0
Two black dogs are jumping and playing with a yellow tennis ball in the snow.,A brown dog and a black dog playing with a yellow soccer ball.,0.4
A black and white dog is jumping over a hurdle.,A white dog running over a bridge.,0.4
Two brown dogs runs through the water.,Two brown dogs running through water.,0.92
A black dog is jumping out of water.,A black dog is shaking off water.,0.6
A man climbing a rock-face.,A man is climbing a rock wall.,0.92
Woman playing tennis and hitting the ball.,A woman is playing volley ball.,0.4
"A young boy with his hair standing up, is sliding down a blue slide",The kid in the orange shirt is sliding down a teal slide.,0.52
A dog standing in the water.,A girl playing on a parachute.,0.08
A surfer is riding on a breaking wave.,a group of surfers catching a wave,0.52
Two dogs are running through the grass near a house and trees.,Two dogs are running through a green yard,0.84
A brown and white dog is running across a brown field.,A person hanging from a rocky cliff.,0.0
A black dog standing in the grass near a volleyball.,A brown and black down with a blue collar near a soccer ball on a grassy field.,0.44
A white dog with light brown markings has a stick in his mouth and his paws in the snow.,A white dog holds a stick in its mouth while it runs through snow.,0.8
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A man in a white print shirt and a woman in a black dress dancing.,0.0
A black and white dog is running through the grass.,A tan dog is walking through snow.,0.4
A harnessed dog leaps over a log as another dog follows behind.,A brown and white dog is leaping over a log in a field while another dog follows behind it.,0.6
A dog running on the grass,Two dogs are running on the grass.,0.52
Many football players sitting on the ground.,A dog rolls on the ground.,0.0
A little boy and a little girl playing together outside.,A woman wearing a white shirt stands on the street.,0.0
The surfer does a flip off of a wave.,A surfer does a flip on a wave.,0.96
A female DJ holds up a Michael Jackson album.,a girl holding a picture of Michael Jackson smiling,0.6
two white standard poodles play with a toy in the snow,Two dogs fighting in the snow.,0.44
Boy lies on stomach in grass.,Small boy lying on his stomach on the grass.,0.88
A white dog runs along a rocky shoreline.,A dog jumps over a hurdle.,0.16
a black and white dog jumping in the air to catch a Frisbee,A black and white dog jumping in a yard.,0.68
The woman is holding the harness that the brown and white dog is wearing.,A man and woman are looking at artwork that is on easels and clipped to a fencing wall.,0.0
A girl is jumping.,A boy is rock climbing.,0.12
A young pitcher is throwing the baseball.,A brown dog is walking on the grass beside a fence.,0.0
Three children playing in snow.,Three children playing in hay,0.48
Two people ride their bikes down a dirt road.,Two people riding their bikes on a hill.,0.68
A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field,0.8
A dog is standing in the sand.,A tan dog is standing in front of some plants.,0.4
Four girls in swimsuits are playing volleyball at the beach.,Four ladies in swimsuits play sand volleyball on the beach.,0.8
A blonde haired toddler swinging on a tire swing.,A blonde haired child is swinging on a tire swing.,0.96
A child wearing blue and white shorts is jumping in the surf.,A girl wearing green twists something in her hands.,0.12
Two dogs running on the shore.,A white dog running on the beach.,0.48
A yellow car speeds along a snowy field.,A yellow car drives quickly in the snow.,0.88
Two dogs playing in snow.,Two dogs playing in grass.,0.48
One boy is pushing another boy on a swing.,A boy is pushing another boy on the swings.,0.96
A pitcher on a mound throws a baseball.,A boy in the middle of a pitch at a baseball game.,0.68
A little girl is riding a toy tricycle on springs.,A little girl is playing on a toy outdoors.,0.56
A woman is sitting in the water.,The woman is skating in the park.,0.16
A tan girl in a floral bikini is swimming in dark blue waters.,a little girl in a flowered bathingsuit runs through the sand at the beach,0.44
a grey dog swimming through a river with a stick in his mouth,Dog swimming through water carrying stick in its mouth,0.76
A woman in a blue bathing suit is jumping off a dock into a lake.,a boy in a blue shirt and blue jeans runs across a playground,0.08
Two black dogs are playing on the grass.,Two black dogs are playing in a grassy plain.,0.92
Two puppies playing with a plastic bag.,Two dogs playing in a yard.,0.6
A man in a black suit is surfing along a crashing wave.,A surfer wearing a black wet suit is riding a a white wave in the ocean.,0.92
Three little girls are sitting on the grass.,Two poodles are running through the snow.,0.16
A brown dog runs towards the camera on a dirt trail with mountains in the background.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.,0.8
Dog is jumping down a ramp.,A girls is jumping in the sand.,0.24
The dog plays in the park.,The dog leaps over the fence in the park.,0.64
Four dogs stand in the snow.,Four dogs playing in the snow.,0.72
"Brown and black dogs on snow, showing teeth and barking at each other.",A black dog fighting with a brown dog in the snow.,0.68
A man running on a track.,a man running track,1.0
A light-colored dog runs through the grass.,A dog runs through the grass.,0.8
Child holding an object that is on fire.,A child in pink holds an object that appears to be on fire.,0.8
A small white dog climbs over a log.,a small dog steps onto a log.,0.56
The dogs play in the snow on hind legs.,Two dogs play in the snow.,0.76
A boy skateboards down the railing of some graffiti stairs,A skateboarder slides down a handrail on his feet.,0.52
A black and white dog runs through the water.,Black and brown dog runs through field.,0.4
A girl is running on a desert path.,A young girl is talking on a cell phone.,0.16
A man steers a blue boat past brightly colored houses.,a man driving a blue boat passes by some colorful houses.,1.0
A woman wearing large sunglasses holds newspapers in both hands.,A fat woman wearing faint blue top is blowing soap bubble.,0.2
A deer jumps a fence.,A deer is jumping over a fence.,1.0
A person is on a baseball team.,A person is playing basketball on a team.,0.48
A bike is next to a couple women.,A child next to a bike.,0.4
The group is eating while taking in a breathtaking view.,A group of people take a look at an unusual tree.,0.44
The boy is raising his hand.,The man is raising his hand.,0.68
A man with a gray beard is being shaved in front of a lecture hall,A man with a beard is sitting in the grass.,0.16
A young person  deep in thought.,A young man deep in thought.,0.92
A man is performing labor.,A man is performing today.,0.56
Two men wearing traditional clothing is standing outside.,Three women wearing black vests and gray shirts are talking outside of a building.,0.4
a man wearing a gray hat fishing out of a fishing boat.,A man wearing a straw hat and fishing vest in a stream.,0.52
A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,A dog in a red shirt is chasing a squirrel through the glass.,0.04
A person is watching people ski down the hill.,The woman is jumping a long distance while people watch.,0.28
The yard has a dog.,The dog is running after another dog.,0.32
Three women cook.,Two women cooking.,0.64
The woman is kneeling next to a cat.,A girl is standing next to a man.,0.04
Three guys playing a pro game of basketball.,two guys playing a game of baseball.,0.48
The boys are earning their next belt in karate.,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.,0.04
A woman is digging in the sand.,A man is buried in the sand.,0.28
A woman drives a golf cart.,A man riding a cart.,0.36
A person filming the outdoors.,There is a couple outdoors.,0.32
A human riding a skateboard.,A child is riding a skateboard.,0.76
A woman in a plaid outfit is looking through a bag of produce.,"This is the picture of a woman in a flowered dress, toting something in a bucket.",0.2
The tennis player hit the ball into outer space and broke the death star.,A female tennis player is leaping into the air to hit the ball.,0.24
A boy climbs a forest hill.,A boy is climbing a hill.,0.8
Blond boy jumping onto deck.,A boy jumping down a wet inflatable slide.,0.4
A man uses a chainsaw to sculpt a phallic ice sculpture.,A man is using a chainsaw to carve a wooden sculpture.,0.52
A group of male construction workers repair railroad tracks on a cloudy day,A crew of workers working on a railroad track.,0.76
The girl has something on her head.,The woman has something with her.,0.52
People making a structure out of cards.,Two people are together and one is using a piece of clothing in a different way than intended.,0.04
There are four people outside.,Five people are outside.,0.6
Girls are holding hands in blue clothes,The young people are wearing jeans with their red and green shirts.,0.36
A man is demonstrating how to work with clay while at least two people observe.,At least one of the three women is talking to the others.,0.12
A dog has a sweater on.,A man in a suit jacket is sitting on a red couch with a cat.,0.12
